ticket_id,customer_id,segment,created_date,created_month,created_quarter,channel,category,priority,status,assigned_agent,resolution_hours,csat_score,region,industry
T00044,C0104,Mid-Market,2023-05-14,2023-05,Q2 2023,Self-Service Portal,Billing & Payments,Low,Open,Carlos Rivera,,,LATAM,Logistics
T00045,C0038,Enterprise,2024-01-18,2024-01,Q1 2024,Email,Data & Reporting,High,In Progress,Priya Patel,,,North America,Retail
T00046,C0288,Startup,2024-12-11,2024-12,Q4 2024,Phone,Data & Reporting,Medium,Resolved,Emma Thompson,30.0,4.3,EMEA,Technology
T00047,C0291,SMB,2023-02-03,2023-02,Q1 2023,Chat,Data & Reporting,Low,Resolved,James O'Brien,108.0,3.7,North America,Education
T00048,C0178,SMB,2023-11-24,2023-11,Q4 2023,Phone,Security & Compliance,High,Resolved,Marcus Johnson,18.0,3.1,LATAM,Technology
T00049,C0180,Mid-Market,2023-09-20,2023-09,Q3 2023,Phone,Access & Authentication,Medium,Closed,Marcus Johnson,56.0,3.1,APAC,Healthcare
T00050,C0246,Startup,2024-08-14,2024-08,Q3 2024,Email,Feature Request,High,Closed,Marcus Johnson,4.0,5.0,APAC,Financial Services
T00051,C0176,Enterprise,2023-06-24,2023-06,Q2 2023,Self-Service Portal,Feature Request,Medium,Open,Emma Thompson,,,EMEA,Manufacturing
T00052,C0081,Mid-Market,2023-02-24,2023-02,Q1 2023,Phone,Billing & Payments,High,Closed,Emma Thompson,13.0,2.8,APAC,Financial Services
T00053,C0293,Mid-Market,2024-07-16,2024-07,Q3 2024,Email,Access & Authentication,Critical,Closed,Aisha Williams,8.0,3.1,LATAM,Media
T00054,C0042,Startup,2024-04-29,2024-04,Q2 2024,Self-Service Portal,Positive Feedback,Medium,Resolved,David Kim,55.0,2.6,EMEA,Technology
T00055,C0023,Mid-Market,2023-09-27,2023-09,Q3 2023,Chat,Data & Reporting,Low,In Progress,Emma Thompson,,,LATAM,Media
T00056,C0117,SMB,2024-07-20,2024-07,Q3 2024,Self-Service Portal,Data & Reporting,Medium,Resolved,Emma Thompson,38.0,2.4,APAC,Healthcare
T00057,C0018,SMB,2024-05-29,2024-05,Q2 2024,Self-Service Portal,Integration & API,Medium,In Progress,James O'Brien,,,APAC,Retail
T00058,C0065,Startup,2023-02-13,2023-02,Q1 2023,Self-Service Portal,Product Education,Medium,Resolved,Emma Thompson,16.0,3.7,EMEA,Education
T00059,C0283,Mid-Market,2023-11-30,2023-11,Q4 2023,Phone,Integration & API,Low,Resolved,Marcus Johnson,62.0,1.9,APAC,Media
T00060,C0055,Startup,2024-07-30,2024-07,Q3 2024,Email,Data & Reporting,Medium,Resolved,Aisha Williams,70.0,1.6,LATAM,Logistics
T00061,C0207,SMB,2023-05-28,2023-05,Q2 2023,Chat,Feature Request,Medium,Closed,Sarah Chen,68.0,4.2,LATAM,Manufacturing
T00062,C0173,Startup,2023-11-07,2023-11,Q4 2023,Phone,Security & Compliance,Low,Closed,Carlos Rivera,137.0,3.8,EMEA,Education
T00063,C0138,SMB,2024-03-02,2024-03,Q1 2024,Self-Service Portal,Access & Authentication,Medium,Resolved,Priya Patel,55.0,3.0,North America,Education
T00064,C0034,Enterprise,2023-11-15,2023-11,Q4 2023,Chat,Data & Reporting,Low,Resolved,David Kim,38.0,2.2,North America,Manufacturing
T00065,C0026,Startup,2024-01-05,2024-01,Q1 2024,Chat,Data & Reporting,Low,Resolved,David Kim,119.0,3.0,EMEA,Technology
T00066,C0091,SMB,2024-04-30,2024-04,Q2 2024,Self-Service Portal,Data & Reporting,High,Closed,James O'Brien,13.0,2.6,APAC,Media
T00067,C0114,Mid-Market,2024-10-24,2024-10,Q4 2024,Chat,Billing & Payments,Medium,Closed,Sarah Chen,24.0,3.3,APAC,Education
T00068,C0115,SMB,2023-09-16,2023-09,Q3 2023,Phone,User Management,Low,Resolved,Aisha Williams,88.0,2.2,LATAM,Financial Services
T00069,C0267,SMB,2024-09-30,2024-09,Q3 2024,Phone,Access & Authentication,Medium,Closed,David Kim,44.0,3.6,APAC,Manufacturing
T00070,C0033,Enterprise,2023-12-11,2023-12,Q4 2023,Phone,Data & Reporting,Medium,Closed,Sarah Chen,27.0,3.8,APAC,Technology
T00071,C0207,SMB,2024-11-07,2024-11,Q4 2024,Chat,Access & Authentication,Critical,Resolved,James O'Brien,7.0,4.2,LATAM,Manufacturing
T00072,C0176,Enterprise,2024-12-31,2024-12,Q4 2024,Self-Service Portal,Integration & API,Low,Resolved,Priya Patel,99.0,1.8,EMEA,Manufacturing
T00073,C0133,Enterprise,2024-07-26,2024-07,Q3 2024,Email,Security & Compliance,Medium,In Progress,Aisha Williams,,,APAC,Healthcare
T00074,C0300,SMB,2023-10-29,2023-10,Q4 2023,Chat,Access & Authentication,High,Resolved,Emma Thompson,19.0,2.9,APAC,Retail
T00075,C0272,Mid-Market,2023-11-02,2023-11,Q4 2023,Self-Service Portal,Security & Compliance,High,Resolved,David Kim,8.0,4.8,APAC,Logistics
T00076,C0171,Mid-Market,2024-10-08,2024-10,Q4 2024,Email,Performance & Stability,Critical,Closed,Marcus Johnson,3.0,4.9,APAC,Retail
T00077,C0067,SMB,2024-09-21,2024-09,Q3 2024,Chat,Integration & API,Medium,Open,James O'Brien,,,EMEA,Education
T00078,C0010,Enterprise,2024-11-23,2024-11,Q4 2024,Self-Service Portal,Feature Request,High,Resolved,Sarah Chen,16.0,3.0,EMEA,Education
T00079,C0153,SMB,2023-10-25,2023-10,Q4 2023,Chat,Integration & API,Medium,Resolved,Priya Patel,70.0,3.8,APAC,Technology
T00080,C0207,SMB,2023-01-20,2023-01,Q1 2023,Phone,Feature Request,High,Resolved,Aisha Williams,7.0,3.6,LATAM,Manufacturing
T00081,C0274,SMB,2024-09-30,2024-09,Q3 2024,Phone,Product Education,Medium,Open,Marcus Johnson,,,APAC,Media
T00082,C0281,Enterprise,2023-09-16,2023-09,Q3 2023,Chat,Billing & Payments,Medium,Resolved,Marcus Johnson,42.0,2.8,LATAM,Media
T00083,C0262,Mid-Market,2024-09-24,2024-09,Q3 2024,Email,Access & Authentication,High,In Progress,Emma Thompson,,,APAC,Technology
T00084,C0152,SMB,2023-06-14,2023-06,Q2 2023,Self-Service Portal,Integration & API,High,Resolved,David Kim,4.0,5.0,APAC,Media
T00085,C0077,Mid-Market,2023-04-03,2023-04,Q2 2023,Email,Feature Request,High,In Progress,Marcus Johnson,,,LATAM,Education
T00086,C0090,Mid-Market,2023-02-10,2023-02,Q1 2023,Phone,Positive Feedback,Medium,Open,Carlos Rivera,,,APAC,Logistics
T00087,C0184,Startup,2024-03-24,2024-03,Q1 2024,Phone,Security & Compliance,High,In Progress,Emma Thompson,,,APAC,Education
T00088,C0245,SMB,2024-03-07,2024-03,Q1 2024,Phone,Positive Feedback,High,Open,David Kim,,,APAC,Retail
T00089,C0093,Startup,2024-09-17,2024-09,Q3 2024,Phone,Data & Reporting,Critical,Closed,David Kim,3.0,5.0,LATAM,Media
T00090,C0024,SMB,2023-03-06,2023-03,Q1 2023,Phone,Data & Reporting,Low,Closed,James O'Brien,134.0,3.5,EMEA,Healthcare
T00091,C0247,Startup,2023-12-21,2023-12,Q4 2023,Phone,Performance & Stability,High,Closed,David Kim,4.0,5.0,LATAM,Technology
T00092,C0085,SMB,2023-03-18,2023-03,Q1 2023,Email,Data & Reporting,Low,In Progress,David Kim,,,LATAM,Media
T00093,C0228,Mid-Market,2024-08-09,2024-08,Q3 2024,Email,Security & Compliance,Medium,Resolved,Sarah Chen,59.0,1.6,LATAM,Logistics
T00094,C0047,Mid-Market,2024-09-10,2024-09,Q3 2024,Email,Data & Reporting,Medium,Resolved,Carlos Rivera,14.0,5.0,APAC,Healthcare
T00095,C0287,Startup,2024-09-26,2024-09,Q3 2024,Chat,Feature Request,Medium,Open,Aisha Williams,,,APAC,Technology
T00096,C0281,Enterprise,2024-06-18,2024-06,Q2 2024,Chat,Access & Authentication,Low,Closed,Emma Thompson,74.0,2.1,LATAM,Media
T00097,C0111,SMB,2024-04-13,2024-04,Q2 2024,Email,Data & Reporting,Low,Resolved,David Kim,153.0,1.9,EMEA,Retail
T00098,C0003,SMB,2024-06-27,2024-06,Q2 2024,Chat,Performance & Stability,Medium,Closed,Carlos Rivera,30.0,1.8,EMEA,Media
T00099,C0259,SMB,2024-01-29,2024-01,Q1 2024,Email,User Management,Low,Closed,Aisha Williams,59.0,2.7,LATAM,Manufacturing
T00100,C0281,Enterprise,2023-11-18,2023-11,Q4 2023,Email,User Management,Medium,Resolved,Carlos Rivera,24.0,3.0,LATAM,Media
T00101,C0060,Startup,2023-12-27,2023-12,Q4 2023,Phone,Performance & Stability,Low,Resolved,Emma Thompson,157.0,1.8,LATAM,Manufacturing
T00102,C0075,SMB,2023-02-24,2023-02,Q1 2023,Email,Billing & Payments,Low,Resolved,Sarah Chen,99.0,2.1,North America,Technology
T00103,C0184,Startup,2024-04-08,2024-04,Q2 2024,Self-Service Portal,Security & Compliance,Low,Closed,Emma Thompson,36.0,4.3,APAC,Education
T00104,C0214,SMB,2024-12-02,2024-12,Q4 2024,Email,Access & Authentication,Low,Closed,James O'Brien,163.0,3.7,LATAM,Technology
T00105,C0100,Mid-Market,2023-10-29,2023-10,Q4 2023,Self-Service Portal,Product Education,High,Closed,Aisha Williams,16.0,3.3,LATAM,Retail
T00106,C0067,SMB,2023-06-14,2023-06,Q2 2023,Phone,Data & Reporting,Medium,In Progress,David Kim,,,EMEA,Education
T00107,C0294,Enterprise,2024-07-17,2024-07,Q3 2024,Email,Positive Feedback,Medium,In Progress,Emma Thompson,,,North America,Media
T00108,C0048,SMB,2023-12-24,2023-12,Q4 2023,Chat,Billing & Payments,Medium,In Progress,Carlos Rivera,,,LATAM,Education
T00109,C0229,SMB,2023-09-04,2023-09,Q3 2023,Email,User Management,High,Closed,Aisha Williams,7.0,4.1,North America,Technology
T00110,C0013,Mid-Market,2024-06-13,2024-06,Q2 2024,Email,Positive Feedback,Medium,Closed,Sarah Chen,18.0,3.0,APAC,Logistics
T00111,C0034,Enterprise,2023-08-04,2023-08,Q3 2023,Chat,Positive Feedback,Low,In Progress,Sarah Chen,,,North America,Manufacturing
T00112,C0236,SMB,2023-12-06,2023-12,Q4 2023,Email,Access & Authentication,High,Open,David Kim,,,LATAM,Retail
T00113,C0208,Mid-Market,2024-03-19,2024-03,Q1 2024,Email,Data & Reporting,High,Closed,Marcus Johnson,22.0,3.6,APAC,Retail
T00114,C0149,SMB,2024-12-03,2024-12,Q4 2024,Chat,Access & Authentication,Low,Resolved,Emma Thompson,160.0,2.2,North America,Education
T00115,C0280,Enterprise,2023-10-30,2023-10,Q4 2023,Self-Service Portal,Data & Reporting,Low,Closed,Emma Thompson,55.0,1.6,APAC,Healthcare
T00116,C0276,Enterprise,2024-07-14,2024-07,Q3 2024,Phone,Billing & Payments,Low,In Progress,Aisha Williams,,,LATAM,Manufacturing
T00117,C0100,Mid-Market,2023-04-28,2023-04,Q2 2023,Self-Service Portal,Positive Feedback,Low,Closed,Aisha Williams,98.0,3.5,LATAM,Retail
T00118,C0051,SMB,2023-07-22,2023-07,Q3 2023,Email,Integration & API,Medium,Resolved,David Kim,16.0,3.5,APAC,Manufacturing
T00119,C0169,SMB,2024-09-23,2024-09,Q3 2024,Chat,Feature Request,High,Closed,James O'Brien,9.0,3.2,LATAM,Manufacturing
T00120,C0224,Mid-Market,2023-10-11,2023-10,Q4 2023,Chat,Feature Request,Medium,Resolved,Marcus Johnson,21.0,4.4,LATAM,Media
T00121,C0144,SMB,2023-05-24,2023-05,Q2 2023,Email,Data & Reporting,Low,Open,James O'Brien,,,North America,Healthcare
T00122,C0019,SMB,2024-07-18,2024-07,Q3 2024,Phone,Security & Compliance,Medium,In Progress,David Kim,,,APAC,Media
T00123,C0257,Enterprise,2024-06-06,2024-06,Q2 2024,Email,Data & Reporting,Critical,Closed,Priya Patel,3.0,3.0,LATAM,Technology
T00124,C0248,Enterprise,2024-01-03,2024-01,Q1 2024,Email,Feature Request,High,In Progress,David Kim,,,North America,Media
T00125,C0233,Enterprise,2023-02-17,2023-02,Q1 2023,Chat,Data & Reporting,Low,Closed,Carlos Rivera,120.0,3.5,LATAM,Media
T00126,C0040,Startup,2024-06-13,2024-06,Q2 2024,Chat,Product Education,High,Closed,Priya Patel,19.0,4.0,EMEA,Retail
T00127,C0226,Enterprise,2023-06-19,2023-06,Q2 2023,Email,Integration & API,Medium,In Progress,Marcus Johnson,,,EMEA,Technology
T00128,C0247,Startup,2024-11-22,2024-11,Q4 2024,Phone,Billing & Payments,High,Open,Sarah Chen,,,LATAM,Technology
T00129,C0294,Enterprise,2023-05-31,2023-05,Q2 2023,Self-Service Portal,Data & Reporting,High,Resolved,David Kim,13.0,3.8,North America,Media
T00130,C0247,Startup,2023-06-24,2023-06,Q2 2023,Chat,Data & Reporting,High,Closed,Marcus Johnson,9.0,4.3,LATAM,Technology
T00131,C0118,SMB,2024-01-23,2024-01,Q1 2024,Self-Service Portal,Access & Authentication,High,Resolved,Sarah Chen,8.0,3.9,EMEA,Manufacturing
T00132,C0273,Enterprise,2024-05-30,2024-05,Q2 2024,Chat,Integration & API,High,Closed,Emma Thompson,20.0,5.0,North America,Education
T00133,C0118,SMB,2024-05-08,2024-05,Q2 2024,Phone,Performance & Stability,Low,Resolved,James O'Brien,89.0,2.9,EMEA,Manufacturing
T00134,C0043,Enterprise,2023-10-18,2023-10,Q4 2023,Email,Performance & Stability,Medium,Closed,James O'Brien,23.0,2.5,LATAM,Technology
T00135,C0162,SMB,2024-02-23,2024-02,Q1 2024,Email,Billing & Payments,Medium,Closed,Emma Thompson,54.0,4.5,APAC,Retail
T00136,C0105,Startup,2024-02-28,2024-02,Q1 2024,Chat,Performance & Stability,High,Resolved,Marcus Johnson,22.0,4.7,APAC,Retail
T00137,C0118,SMB,2024-04-02,2024-04,Q2 2024,Phone,Access & Authentication,Medium,Closed,Priya Patel,57.0,3.9,EMEA,Manufacturing
T00138,C0242,SMB,2024-09-06,2024-09,Q3 2024,Email,Access & Authentication,High,Open,Priya Patel,,,North America,Manufacturing
T00139,C0254,Startup,2024-03-25,2024-03,Q1 2024,Chat,Security & Compliance,Low,In Progress,Carlos Rivera,,,EMEA,Manufacturing
T00140,C0123,Enterprise,2024-11-01,2024-11,Q4 2024,Chat,Access & Authentication,Medium,Resolved,Marcus Johnson,33.0,1.5,EMEA,Technology
T00141,C0047,Mid-Market,2024-07-16,2024-07,Q3 2024,Email,Positive Feedback,Low,Closed,Sarah Chen,140.0,4.3,APAC,Healthcare
T00142,C0134,Mid-Market,2023-06-29,2023-06,Q2 2023,Email,Access & Authentication,High,Closed,David Kim,21.0,5.0,LATAM,Manufacturing
T00143,C0125,Mid-Market,2023-12-14,2023-12,Q4 2023,Email,Integration & API,Medium,In Progress,Carlos Rivera,,,APAC,Technology
T00144,C0212,Mid-Market,2023-12-28,2023-12,Q4 2023,Email,Access & Authentication,Low,Open,Carlos Rivera,,,North America,Media
T00145,C0182,Enterprise,2023-08-12,2023-08,Q3 2023,Self-Service Portal,Billing & Payments,Low,In Progress,James O'Brien,,,North America,Logistics
T00146,C0118,SMB,2023-07-27,2023-07,Q3 2023,Email,Performance & Stability,High,Closed,David Kim,23.0,5.0,EMEA,Manufacturing
T00147,C0191,Startup,2024-09-27,2024-09,Q3 2024,Chat,Security & Compliance,Low,Resolved,Priya Patel,125.0,2.2,LATAM,Education
T00148,C0028,Enterprise,2024-06-22,2024-06,Q2 2024,Email,User Management,Critical,Closed,Sarah Chen,3.0,3.9,EMEA,Manufacturing
T00149,C0007,Startup,2024-11-21,2024-11,Q4 2024,Chat,Performance & Stability,Medium,Resolved,Carlos Rivera,42.0,4.4,LATAM,Healthcare
T00150,C0188,Mid-Market,2023-07-08,2023-07,Q3 2023,Chat,Billing & Payments,Low,Closed,James O'Brien,57.0,4.4,APAC,Financial Services
T00151,C0052,Enterprise,2023-10-04,2023-10,Q4 2023,Email,Integration & API,Medium,Closed,Priya Patel,9.0,3.8,LATAM,Technology
T00152,C0265,SMB,2024-06-30,2024-06,Q2 2024,Chat,Positive Feedback,Medium,Resolved,Aisha Williams,28.0,2.1,EMEA,Media
T00153,C0244,Mid-Market,2024-10-06,2024-10,Q4 2024,Chat,Feature Request,Medium,Resolved,James O'Brien,10.0,2.9,LATAM,Retail
T00154,C0296,Enterprise,2024-08-12,2024-08,Q3 2024,Email,Integration & API,Low,Resolved,David Kim,121.0,3.3,North America,Financial Services
T00155,C0075,SMB,2023-06-21,2023-06,Q2 2023,Chat,User Management,Medium,Resolved,Carlos Rivera,28.0,2.2,North America,Technology
T00156,C0150,Startup,2024-12-28,2024-12,Q4 2024,Chat,Performance & Stability,Medium,Closed,Sarah Chen,65.0,2.0,LATAM,Media
T00157,C0065,Startup,2023-08-29,2023-08,Q3 2023,Email,User Management,Low,In Progress,Sarah Chen,,,EMEA,Education
T00158,C0014,SMB,2024-02-11,2024-02,Q1 2024,Chat,Product Education,High,Open,Aisha Williams,,,North America,Education
T00159,C0227,Enterprise,2024-10-03,2024-10,Q4 2024,Email,Integration & API,High,Resolved,David Kim,19.0,5.0,APAC,Media
T00160,C0070,Mid-Market,2024-12-15,2024-12,Q4 2024,Phone,Performance & Stability,Medium,Closed,James O'Brien,47.0,2.9,APAC,Media
T00161,C0046,Mid-Market,2024-03-28,2024-03,Q1 2024,Email,Data & Reporting,High,Resolved,David Kim,15.0,4.1,North America,Media
T00162,C0245,SMB,2023-11-03,2023-11,Q4 2023,Email,Integration & API,Medium,Open,Emma Thompson,,,APAC,Retail
T00163,C0203,Enterprise,2023-09-13,2023-09,Q3 2023,Chat,Feature Request,Medium,Resolved,Aisha Williams,38.0,3.8,EMEA,Manufacturing
T00164,C0146,Mid-Market,2024-10-26,2024-10,Q4 2024,Self-Service Portal,Positive Feedback,Medium,In Progress,Aisha Williams,,,APAC,Healthcare
T00165,C0252,SMB,2023-07-12,2023-07,Q3 2023,Email,Billing & Payments,Low,Closed,James O'Brien,136.0,3.7,LATAM,Media
T00166,C0047,Mid-Market,2023-06-04,2023-06,Q2 2023,Phone,Billing & Payments,Medium,Resolved,Priya Patel,12.0,2.7,APAC,Healthcare
T00167,C0029,Enterprise,2023-09-30,2023-09,Q3 2023,Self-Service Portal,Performance & Stability,High,Resolved,David Kim,4.0,3.7,EMEA,Logistics
T00168,C0127,Enterprise,2023-02-04,2023-02,Q1 2023,Phone,Feature Request,High,In Progress,Sarah Chen,,,EMEA,Education
T00169,C0282,SMB,2024-06-17,2024-06,Q2 2024,Chat,Integration & API,Medium,Open,Carlos Rivera,,,EMEA,Retail
T00170,C0008,Mid-Market,2023-06-21,2023-06,Q2 2023,Email,Access & Authentication,Low,Open,Marcus Johnson,,,North America,Manufacturing
T00171,C0128,SMB,2023-06-11,2023-06,Q2 2023,Self-Service Portal,Feature Request,Medium,Closed,Marcus Johnson,53.0,3.6,APAC,Technology
T00172,C0065,Startup,2024-05-14,2024-05,Q2 2024,Phone,Product Education,Low,Closed,Priya Patel,120.0,2.6,EMEA,Education
T00173,C0129,SMB,2023-02-10,2023-02,Q1 2023,Phone,Integration & API,Medium,In Progress,David Kim,,,North America,Healthcare
T00174,C0141,Startup,2024-09-05,2024-09,Q3 2024,Email,Access & Authentication,High,Resolved,Priya Patel,18.0,3.6,APAC,Financial Services
T00175,C0010,Enterprise,2024-09-26,2024-09,Q3 2024,Email,Performance & Stability,Medium,Closed,Aisha Williams,71.0,2.0,EMEA,Education
T00176,C0166,SMB,2024-02-24,2024-02,Q1 2024,Email,Access & Authentication,Medium,Closed,James O'Brien,12.0,2.8,LATAM,Retail
T00177,C0051,SMB,2023-02-02,2023-02,Q1 2023,Chat,Positive Feedback,Medium,Closed,Marcus Johnson,54.0,3.3,APAC,Manufacturing
T00178,C0007,Startup,2023-08-02,2023-08,Q3 2023,Chat,User Management,Low,Resolved,Sarah Chen,118.0,3.9,LATAM,Healthcare
T00179,C0137,Enterprise,2024-06-25,2024-06,Q2 2024,Self-Service Portal,Access & Authentication,Medium,Closed,James O'Brien,37.0,2.7,North America,Healthcare
T00180,C0270,Mid-Market,2024-11-03,2024-11,Q4 2024,Phone,Performance & Stability,High,Resolved,Emma Thompson,24.0,3.6,North America,Healthcare
T00181,C0054,Enterprise,2023-06-20,2023-06,Q2 2023,Email,Data & Reporting,Medium,Closed,Carlos Rivera,48.0,4.5,North America,Technology
T00182,C0191,Startup,2024-02-27,2024-02,Q1 2024,Email,Positive Feedback,Medium,Resolved,David Kim,40.0,4.4,LATAM,Education
T00183,C0204,SMB,2023-01-01,2023-01,Q1 2023,Chat,Product Education,Medium,Closed,Carlos Rivera,46.0,2.1,LATAM,Manufacturing
T00184,C0012,Enterprise,2024-12-07,2024-12,Q4 2024,Self-Service Portal,Performance & Stability,Medium,In Progress,Priya Patel,,,North America,Financial Services
T00185,C0136,SMB,2024-01-11,2024-01,Q1 2024,Email,Billing & Payments,Low,Resolved,Marcus Johnson,147.0,2.0,LATAM,Education
T00186,C0154,Enterprise,2023-02-08,2023-02,Q1 2023,Email,Performance & Stability,High,Closed,James O'Brien,17.0,5.0,EMEA,Technology
